,player_name,total_runs,outs,balls_played,average_runs,strike_rate
0,DA Warner,4741,109,3397,43.4954128440367,139.56432146011187
1,S Dhawan,4632,137,3776,33.81021897810219,122.66949152542372
2,MC Henriques,969,34,769,28.5,126.00780234070221
3,Yuvraj Singh,2761,111,2205,24.873873873873872,125.21541950113378
4,DJ Hooda,535,35,431,15.285714285714286,124.12993039443155
5,BCJ Cutting,240,11,146,21.818181818181817,164.3835616438356
6,CH Gayle,4535,108,3119,41.99074074074074,145.399166399487
7,Mandeep Singh,1547,68,1254,22.75,123.3652312599681
8,TM Head,205,7,151,29.285714285714285,135.76158940397352
9,KM Jadhav,1091,47,879,23.21276595744681,124.11831626848692
10,SR Watson,3608,114,2635,31.649122807017545,136.9259962049336
11,Sachin Baby,137,8,106,17.125,129.24528301886792
12,STR Binny,882,46,700,19.17391304347826,126.0
13,S Aravind,59,4,59,14.75,100.0
14,YS Chahal,22,5,49,4.4,44.89795918367347
15,TS Mills,8,3,11,2.6666666666666665,72.72727272727273
16,A Choudhary,25,1,20,25.0,125.0
17,PA Patel,2874,126,2444,22.80952380952381,117.59410801963993
18,JC Buttler,1430,39,952,36.666666666666664,150.21008403361344
19,RG Sharma,4914,155,3816,31.703225806451613,128.77358490566039
20,N Rana,1104,38,835,29.05263157894737,132.21556886227546
21,AT Rayudu,3326,115,2681,28.921739130434784,124.05818724356584
22,KH Pandya,915,35,635,26.142857142857142,144.09448818897638
23,KA Pollard,2772,96,1960,28.875,141.42857142857142
24,HH Pandya,1111,37,734,30.027027027027028,151.3623978201635
25,TG Southee,115,8,91,14.375,126.37362637362638
26,AM Rahane,3850,116,3215,33.189655172413794,119.751166407465
27,MA Agarwal,1276,69,1027,18.492753623188406,124.24537487828627
28,SPD Smith,2037,54,1611,37.72222222222222,126.44320297951583
29,BA Stokes,647,28,493,23.107142857142858,131.23732251521298
30,MS Dhoni,4477,105,3318,42.63809523809524,134.93068113321277
31,JJ Roy,186,5,139,37.2,133.81294964028777
32,BB McCullum,2891,104,2267,27.798076923076923,127.52536391707102
33,SK Raina,5407,161,4041,33.58385093167702,133.8035139816877
34,AJ Finch,1743,67,1368,26.01492537313433,127.41228070175438
35,KD Karthik,3687,135,2889,27.31111111111111,127.62201453790239
36,G Gambhir,4223,136,3524,31.051470588235293,119.83541430192963
37,CA Lynn,1308,38,939,34.421052631578945,139.29712460063897
38,MK Tiwary,1697,59,1489,28.76271186440678,113.96910678307589
39,DT Christian,448,25,384,17.92,116.66666666666667
40,HM Amla,577,13,418,44.38461538461539,138.03827751196172
41,M Vohra,1016,43,800,23.627906976744185,127.0
42,WP Saha,1780,74,1382,24.054054054054053,128.7988422575977
43,AR Patel,806,42,655,19.19047619047619,123.05343511450381
44,GJ Maxwell,1402,61,901,22.983606557377048,155.6048834628191
45,DA Miller,1875,54,1375,34.72222222222222,136.36363636363637
46,Vishnu Vinod,19,3,26,6.333333333333333,73.07692307692308
47,Iqbal Abdulla,88,2,86,44.0,102.32558139534883
48,P Negi,366,26,301,14.076923076923077,121.59468438538207
49,AP Tare,339,24,285,14.125,118.94736842105263
50,SW Billings,338,19,256,17.789473684210527,132.03125
51,KK Nair,1470,59,1160,24.915254237288135,126.72413793103448
52,SV Samson,2235,80,1728,27.9375,129.34027777777777
53,RR Pant,1786,48,1100,37.208333333333336,162.36363636363637
54,CH Morris,520,19,339,27.36842105263158,153.39233038348084
55,CR Brathwaite,188,13,120,14.461538461538462,156.66666666666666
56,PJ Cummins,77,6,56,12.833333333333334,137.5
57,A Mishra,368,31,410,11.870967741935484,89.7560975609756
58,S Nadeem,32,12,79,2.6666666666666665,40.50632911392405
59,Z Khan,117,14,141,8.357142857142858,82.97872340425532
60,DR Smith,2385,84,1803,28.392857142857142,132.27953410981698
61,DS Kulkarni,101,9,111,11.222222222222221,90.990990990991
62,P Kumar,340,38,323,8.947368421052632,105.26315789473684
63,Basil Thampi,32,1,37,32.0,86.48648648648648
64,RV Uthappa,4444,153,3490,29.045751633986928,127.3352435530086
65,MK Pandey,2864,97,2422,29.52577319587629,118.24938067712634
66,YK Pathan,3223,110,2330,29.3,138.32618025751074
67,SA Yadav,608,28,478,21.714285714285715,127.19665271966527
68,CR Woakes,63,6,66,10.5,95.45454545454545
69,SP Narine,803,44,481,18.25,166.94386694386694
70,Harbhajan Singh,834,55,632,15.163636363636364,131.9620253164557
71,AB de Villiers,4415,110,2973,40.13636363636363,148.50319542549613
72,CJ Anderson,538,22,436,24.454545454545453,123.39449541284404
73,F du Plessis,1874,59,1499,31.76271186440678,125.01667778519013
74,RA Tripathi,771,29,571,26.586206896551722,135.02626970227672
75,R Bhatia,342,30,290,11.4,117.93103448275862
76,DL Chahar,73,6,46,12.166666666666666,158.69565217391303
77,A Zampa,5,2,8,2.5,62.5
78,AB Dinda,26,10,50,2.6,52.0
79,Imran Tahir,20,4,27,5.0,74.07407407407408
80,NV Ojha,1555,75,1360,20.733333333333334,114.33823529411765
81,V Shankar,574,18,429,31.88888888888889,133.7995337995338
82,Rashid Khan,109,12,67,9.083333333333334,162.6865671641791
83,B Kumar,190,24,197,7.916666666666667,96.44670050761421
84,MP Stoinis,482,15,373,32.13333333333333,129.2225201072386
85,MM Sharma,124,15,120,8.266666666666667,103.33333333333333
86,VR Aaron,49,4,63,12.25,77.77777777777777
87,V Kohli,5429,143,4209,37.96503496503497,128.9855072463768
88,MJ McClenaghan,91,12,73,7.583333333333333,124.65753424657534
89,Ankit Sharma,164,10,114,16.4,143.859649122807
90,SN Thakur,36,5,21,7.2,171.42857142857142
91,RD Chahar,15,2,13,7.5,115.38461538461539
92,LH Ferguson,1,0,1,0.0,100.0
93,C de Grandhomme,313,15,229,20.866666666666667,136.6812227074236
94,Bipul Sharma,187,8,124,23.375,150.80645161290323
95,SS Iyer,1710,55,1369,31.09090909090909,124.90869247626004
96,EJG Morgan,854,40,725,21.35,117.79310344827586
97,KC Cariappa,24,3,21,8.0,114.28571428571429
